pred.temp.C,river.mile,river.segment,month,temp.station,SEGCODE,latitude,longitude
8.602295543,2,green2,11,2_green2,G2,40.90017623,-109.3889515
5.759405168,2,green2,12,2_green2,G2,40.90017623,-109.3889515
5.105799101,2,san.juan,1,2_san.juan,T4,36.82382951,-107.6394198
4.647302303,2,san.juan,2,2_san.juan,T4,36.82382951,-107.6394198
4.850326772,2,san.juan,3,2_san.juan,T4,36.82382951,-107.6394198
5.082435325,2,san.juan,4,2_san.juan,T4,36.82382951,-107.6394198
5.716428504,2,san.juan,5,2_san.juan,T4,36.82382951,-107.6394198
6.507839177,2,san.juan,6,2_san.juan,T4,36.82382951,-107.6394198
6.640456032,2,san.juan,7,2_san.juan,T4,36.82382951,-107.6394198
6.603596777,2,san.juan,8,2_san.juan,T4,36.82382951,-107.6394198
6.785022127,2,san.juan,9,2_san.juan,T4,36.82382951,-107.6394198
6.941419964,2,san.juan,10,2_san.juan,T4,36.82382951,-107.6394198
6.735281847,2,san.juan,11,2_san.juan,T4,36.82382951,-107.6394198
6.332457545,2,san.juan,12,2_san.juan,T4,36.82382951,-107.6394198
0.019266449,2,yampa,1,2_yampa,T1,40.5127608,-108.0491278
0.186966127,2,yampa,2,2_yampa,T1,40.5127608,-108.0491278
3.188478602,2,yampa,3,2_yampa,T1,40.5127608,-108.0491278
8.574145658,2,yampa,4,2_yampa,T1,40.5127608,-108.0491278
11.05869311,2,yampa,5,2_yampa,T1,40.5127608,-108.0491278
15.62487147,2,yampa,6,2_yampa,T1,40.5127608,-108.0491278
21.7670076,2,yampa,7,2_yampa,T1,40.5127608,-108.0491278
21.23485597,2,yampa,8,2_yampa,T1,40.5127608,-108.0491278
16.80103309,2,yampa,9,2_yampa,T1,40.5127608,-108.0491278
9.999225336,2,yampa,10,2_yampa,T1,40.5127608,-108.0491278
3.062762239,2,yampa,11,2_yampa,T1,40.5127608,-108.0491278
0.181077705,2,yampa,12,2_yampa,T1,40.5127608,-108.0491278
0.71877435,3,colorado1,1,3_colorado1,C1,39.57002514,-107.4565091
2.25260014,3,colorado1,2,3_colorado1,C1,39.57002514,-107.4565091
5.922215785,3,colorado1,3,3_colorado1,C1,39.57002514,-107.4565091
8.789224398,3,colorado1,4,3_colorado1,C1,39.57002514,-107.4565091
10.3253187,3,colorado1,5,3_colorado1,C1,39.57002514,-107.4565091
12.84035482,3,colorado1,6,3_colorado1,C1,39.57002514,-107.4565091
17.50319518,3,colorado1,7,3_colorado1,C1,39.57002514,-107.4565091
17.83105138,3,colorado1,8,3_colorado1,C1,39.57002514,-107.4565091
14.94000672,3,colorado1,9,3_colorado1,C1,39.57002514,-107.4565091
9.621754448,3,colorado1,10,3_colorado1,C1,39.57002514,-107.4565091
4.278030756,3,colorado1,11,3_colorado1,C1,39.57002514,-107.4565091
1.339518461,3,colorado1,12,3_colorado1,C1,39.57002514,-107.4565091
1.275013423,3,colorado1g,1,3_colorado1g,C2,38.16180935,-109.9237945
3.65969364,3,colorado1g,2,3_colorado1g,C2,38.16180935,-109.9237945
8.358624135,3,colorado1g,3,3_colorado1g,C2,38.16180935,-109.9237945
11.56389285,3,colorado1g,4,3_colorado1g,C2,38.16180935,-109.9237945
15.49083238,3,colorado1g,5,3_colorado1g,C2,38.16180935,-109.9237945
20.49389916,3,colorado1g,6,3_colorado1g,C2,38.16180935,-109.9237945
24.83029114,3,colorado1g,7,3_colorado1g,C2,38.16180935,-109.9237945
24.15473057,3,colorado1g,8,3_colorado1g,C2,38.16180935,-109.9237945
19.8492635,3,colorado1g,9,3_colorado1g,C2,38.16180935,-109.9237945
13.17852413,3,colorado1g,10,3_colorado1g,C2,38.16180935,-109.9237945
7.182146032,3,colorado1g,11,3_colorado1g,C2,38.16180935,-109.9237945
1.863409609,3,colorado1g,12,3_colorado1g,C2,38.16180935,-109.9237945
9.503271911,3,colorado2,1,3_colorado2,C3,36.90129,-111.513712
8.624047216,3,colorado2,2,3_colorado2,C3,36.90129,-111.513712
8.503061396,3,colorado2,3,3_colorado2,C3,36.90129,-111.513712
8.677233439,3,colorado2,4,3_colorado2,C3,36.90129,-111.513712
8.982002414,3,colorado2,5,3_colorado2,C3,36.90129,-111.513712
9.564369085,3,colorado2,6,3_colorado2,C3,36.90129,-111.513712
10.31758824,3,colorado2,7,3_colorado2,C3,36.90129,-111.513712
10.81365235,3,colorado2,8,3_colorado2,C3,36.90129,-111.513712
11.29923363,3,colorado2,9,3_colorado2,C3,36.90129,-111.513712
11.37839205,3,colorado2,10,3_colorado2,C3,36.90129,-111.513712
11.582807,3,colorado2,11,3_colorado2,C3,36.90129,-111.513712
10.99848337,3,colorado2,12,3_colorado2,C3,36.90129,-111.513712
2.950522549,3,green1,1,3_green1,G1,41.986909,-110.048059
2.996601234,3,green1,2,3_green1,G1,41.986909,-110.048059
3.450278004,3,green1,3,3_green1,G1,41.986909,-110.048059
5.653782985,3,green1,4,3_green1,G1,41.986909,-110.048059
11.17134403,3,green1,5,3_green1,G1,41.986909,-110.048059
15.18292454,3,green1,6,3_green1,G1,41.986909,-110.048059
17.71439377,3,green1,7,3_green1,G1,41.986909,-110.048059
18.42121209,3,green1,8,3_green1,G1,41.986909,-110.048059
16.59122989,3,green1,9,3_green1,G1,41.986909,-110.048059
10.33640668,3,green1,10,3_green1,G1,41.986909,-110.048059
6.16513524,3,green1,11,3_green1,G1,41.986909,-110.048059
2.503225743,3,green1,12,3_green1,G1,41.986909,-110.048059
4.142203075,3,green2,1,3_green2,G2,40.90464971,-109.3716149
3.460584441,3,green2,2,3_green2,G2,40.90464971,-109.3716149
3.81918463,3,green2,3,3_green2,G2,40.90464971,-109.3716149
5.378960273,3,green2,4,3_green2,G2,40.90464971,-109.3716149
7.746372842,3,green2,5,3_green2,G2,40.90464971,-109.3716149
11.18695957,3,green2,6,3_green2,G2,40.90464971,-109.3716149
13.61555106,3,green2,7,3_green2,G2,40.90464971,-109.3716149
14.13669227,3,green2,8,3_green2,G2,40.90464971,-109.3716149
13.57300827,3,green2,9,3_green2,G2,40.90464971,-109.3716149
11.25084991,3,green2,10,3_green2,G2,40.90464971,-109.3716149
8.588965456,3,green2,11,3_green2,G2,40.90464971,-109.3716149
5.71700118,3,green2,12,3_green2,G2,40.90464971,-109.3716149
5.029524569,3,san.juan,1,3_san.juan,T4,36.82599836,-107.6553062
4.659604038,3,san.juan,2,3_san.juan,T4,36.82599836,-107.6553062
4.952703266,3,san.juan,3,3_san.juan,T4,36.82599836,-107.6553062
5.233214703,3,san.juan,4,3_san.juan,T4,36.82599836,-107.6553062
5.861507303,3,san.juan,5,3_san.juan,T4,36.82599836,-107.6553062
6.683186159,3,san.juan,6,3_san.juan,T4,36.82599836,-107.6553062
6.991570037,3,san.juan,7,3_san.juan,T4,36.82599836,-107.6553062
6.897915739,3,san.juan,8,3_san.juan,T4,36.82599836,-107.6553062
7.006502033,3,san.juan,9,3_san.juan,T4,36.82599836,-107.6553062
7.069715231,3,san.juan,10,3_san.juan,T4,36.82599836,-107.6553062
6.733689592,3,san.juan,11,3_san.juan,T4,36.82599836,-107.6553062
6.234978464,3,san.juan,12,3_san.juan,T4,36.82599836,-107.6553062
0.01754245,3,yampa,1,3_yampa,T1,40.51631434,-108.0618174
0.193501805,3,yampa,2,3_yampa,T1,40.51631434,-108.0618174
3.203048329,3,yampa,3,3_yampa,T1,40.51631434,-108.0618174
8.586173749,3,yampa,4,3_yampa,T1,40.51631434,-108.0618174
11.07643522,3,yampa,5,3_yampa,T1,40.51631434,-108.0618174
15.64514845,3,yampa,6,3_yampa,T1,40.51631434,-108.0618174
21.78259628,3,yampa,7,3_yampa,T1,40.51631434,-108.0618174
21.24759372,3,yampa,8,3_yampa,T1,40.51631434,-108.0618174
16.81257813,3,yampa,9,3_yampa,T1,40.51631434,-108.0618174
10.01033514,3,yampa,10,3_yampa,T1,40.51631434,-108.0618174
3.073334804,3,yampa,11,3_yampa,T1,40.51631434,-108.0618174
0.182380941,3,yampa,12,3_yampa,T1,40.51631434,-108.0618174
0.721672524,4,colorado1,1,4_colorado1,C1,39.57251282,-107.47383
2.264103363,4,colorado1,2,4_colorado1,C1,39.57251282,-107.47383
5.940571942,4,colorado1,3,4_colorado1,C1,39.57251282,-107.47383
8.805505422,4,colorado1,4,4_colorado1,C1,39.57251282,-107.47383
10.34924148,4,colorado1,5,4_colorado1,C1,39.57251282,-107.47383
